货箱编号,架次编号,服务区编号,物资类型,是否硬时限,要求时刻（s）,送达时刻（s）,迟到时间（s）,应急优先系数
S012-WAT-01,T006,S012,饮用水,是,3600.0,2782.91318882315,0.0,12.0
S014-FOD-01,T007,S014,应急食品,是,7200.0,2784.398849163673,0.0,10.0
S014-MED-01,T007,S014,医疗物资,是,3600.0,2784.398849163673,0.0,22.0
S014-WAT-01,T007,S014,饮用水,是,3600.0,2784.398849163673,0.0,12.0
S002-MED-01,T008,S002,医疗物资,是,3600.0,1287.4664675113036,0.0,24.0
S002-WAT-01,T008,S002,饮用水,是,3600.0,1287.4664675113036,0.0,12.0
S001-FOD-01,T009,S001,应急食品,是,7200.0,2879.934039570502,0.0,10.0
S001-FOD-02,T009,S001,应急食品,是,7200.0,2879.934039570502,0.0,10.0
S001-FOD-03,T009,S001,应急食品,是,7200.0,2879.934039570502,0.0,10.0
S001-HYG-01,T009,S001,生活卫生用品,是,10800.0,2879.934039570502,0.0,8.0
S001-HYG-02,T009,S001,生活卫生用品,是,10800.0,2879.934039570502,0.0,8.0
S001-WAT-06,T009,S001,饮用水,是,3600.0,2879.934039570502,0.0,12.0
S001-WAT-07,T009,S001,饮用水,是,3600.0,2879.934039570502,0.0,12.0
S001-WAT-08,T009,S001,饮用水,是,3600.0,2879.934039570502,0.0,12.0
S002-WAT-02,T010,S002,饮用水,是,3600.0,1227.4664675113036,0.0,12.0
S002-WAT-03,T011,S002,饮用水,是,3600.0,1227.4664675113036,0.0,12.0
S002-WAT-04,T012,S002,饮用水,是,3600.0,1227.4664675113036,0.0,12.0
S004-FOD-01,T013,S004,应急食品,是,10800.0,4778.025156153672,0.0,8.0
S004-HYG-01,T013,S004,生活卫生用品,是,14400.0,4778.025156153672,0.0,6.0
S004-MED-01,T013,S004,医疗物资,是,7200.0,4778.025156153672,0.0,20.0
S004-WAT-01,T013,S004,饮用水,是,7200.0,4778.025156153672,0.0,10.0
S004-WAT-02,T013,S004,饮用水,是,7200.0,4778.025156153672,0.0,10.0
S004-WAT-03,T013,S004,饮用水,是,7200.0,4778.025156153672,0.0,10.0
S005-FOD-01,T014,S005,应急食品,是,14400.0,4711.309791381228,0.0,6.0
S005-HYG-01,T014,S005,生活卫生用品,是,18000.0,4711.309791381228,0.0,4.0
S008-FOD-01,T014,S008,应急食品,是,10800.0,5391.153475060363,0.0,8.0
S008-HYG-01,T014,S008,生活卫生用品,是,14400.0,5391.153475060363,0.0,6.0
S008-MED-01,T014,S008,医疗物资,是,7200.0,5391.153475060363,0.0,20.0
S008-WAT-01,T014,S008,饮用水,是,7200.0,5391.153475060363,0.0,10.0
S008-WAT-02,T014,S008,饮用水,是,7200.0,5391.153475060363,0.0,10.0
S015-FOD-01,T015,S015,应急食品,是,14400.0,4617.339176340574,0.0,6.0
S015-MED-01,T015,S015,医疗物资,是,7200.0,4617.339176340574,0.0,18.0
S015-WAT-01,T015,S015,饮用水,是,10800.0,4617.339176340574,0.0,8.0
S003-MED-01,T016,S003,医疗物资,是,7200.0,3360.165600554299,0.0,20.0
S003-WAT-01,T016,S003,饮用水,是,7200.0,3360.165600554299,0.0,10.0
S003-FOD-01,T017,S003,应急食品,是,10800.0,7143.01333094378,0.0,8.0
S003-FOD-02,T017,S003,应急食品,是,10800.0,7143.01333094378,0.0,8.0
S003-HYG-01,T017,S003,生活卫生用品,是,14400.0,7143.01333094378,0.0,6.0
S003-WAT-02,T017,S003,饮用水,是,7200.0,7143.01333094378,0.0,10.0
S003-WAT-03,T017,S003,饮用水,是,7200.0,7143.01333094378,0.0,10.0
S003-WAT-04,T017,S003,饮用水,是,7200.0,7143.01333094378,0.0,10.0
S002-FOD-02,T018,S002,应急食品,是,7200.0,4608.5412509837715,0.0,10.0
S002-HYG-01,T018,S002,生活卫生用品,是,10800.0,4608.5412509837715,0.0,8.0
S002-FOD-01,T019,S002,应急食品,是,7200.0,3178.5194025339106,0.0,10.0
S005-MED-01,T020,S005,医疗物资,是,10800.0,7828.641583937446,0.0,16.0
S005-WAT-01,T020,S005,饮用水,是,10800.0,7828.641583937446,0.0,8.0
S005-WAT-02,T020,S005,饮用水,是,10800.0,7828.641583937446,0.0,8.0
S005-WAT-03,T020,S005,饮用水,是,10800.0,7828.641583937446,0.0,8.0
S011-FOD-01,T020,S011,应急食品,是,14400.0,7184.8836971337,0.0,6.0
S011-MED-01,T020,S011,医疗物资,是,10800.0,7184.8836971337,0.0,16.0
S011-WAT-01,T020,S011,饮用水,是,10800.0,7184.8836971337,0.0,8.0
S009-FOD-01,T021,S009,应急食品,是,14400.0,6300.186305129651,0.0,6.0
S009-MED-01,T021,S009,医疗物资,是,10800.0,6300.186305129651,0.0,16.0
S009-WAT-01,T021,S009,饮用水,是,10800.0,6300.186305129651,0.0,8.0
