货箱编号,架次编号,服务区,物资类型,要求时刻（s）,交付完成时刻（s）,松弛量（s）,是否按时
S014-WAT-01,T010,S014,饮用水,3600.0,2784.398849163673,815.6011508363272,是
S007-FOD-01,T011,S007,应急食品,7200.0,3373.280861278956,3826.719138721044,是
S007-HYG-01,T011,S007,生活卫生用品,10800.0,3373.280861278956,7426.719138721044,是
S007-MED-01,T011,S007,医疗物资,3600.0,3373.280861278956,226.71913872104415,是
S007-WAT-01,T011,S007,饮用水,3600.0,3373.280861278956,226.71913872104415,是
S007-WAT-02,T011,S007,饮用水,3600.0,3373.280861278956,226.71913872104415,是
S011-FOD-01,T011,S011,应急食品,14400.0,2689.5413635653204,11710.45863643468,是
S011-MED-01,T011,S011,医疗物资,10800.0,2689.5413635653204,8110.45863643468,是
S011-WAT-01,T011,S011,饮用水,10800.0,2689.5413635653204,8110.45863643468,是
S001-FOD-01,T012,S001,应急食品,7200.0,2876.32511254782,4323.67488745218,是
S001-FOD-03,T012,S001,应急食品,7200.0,2876.32511254782,4323.67488745218,是
S001-HYG-01,T012,S001,生活卫生用品,10800.0,2876.32511254782,7923.67488745218,是
S001-WAT-01,T012,S001,饮用水,3600.0,2876.32511254782,723.67488745218,是
S001-WAT-03,T012,S001,饮用水,3600.0,2876.32511254782,723.67488745218,是
S001-WAT-07,T012,S001,饮用水,3600.0,2876.32511254782,723.67488745218,是
S001-WAT-08,T012,S001,饮用水,3600.0,2876.32511254782,723.67488745218,是
S003-FOD-02,T013,S003,应急食品,10800.0,3420.165600554299,7379.834399445701,是
S003-WAT-04,T013,S003,饮用水,7200.0,3420.165600554299,3779.834399445701,是
S008-FOD-01,T014,S008,应急食品,10800.0,4683.758010626339,6116.241989373661,是
S008-HYG-01,T014,S008,生活卫生用品,14400.0,4683.758010626339,9716.241989373662,是
S008-MED-01,T014,S008,医疗物资,7200.0,4683.758010626339,2516.2419893736615,是
S008-WAT-01,T014,S008,饮用水,7200.0,4683.758010626339,2516.2419893736615,是
S008-WAT-02,T014,S008,饮用水,7200.0,4683.758010626339,2516.2419893736615,是
S015-FOD-01,T015,S015,应急食品,14400.0,4617.339176340574,9782.660823659426,是
S015-MED-01,T015,S015,医疗物资,7200.0,4617.339176340574,2582.6608236594257,是
S015-WAT-01,T015,S015,饮用水,10800.0,4617.339176340574,6182.660823659426,是
S002-HYG-01,T016,S002,生活卫生用品,10800.0,5070.0522724688235,5729.9477275311765,是
S004-WAT-02,T016,S004,饮用水,7200.0,4659.528976802049,2540.4710231979507,是
S003-FOD-01,T017,S003,应急食品,10800.0,5569.298910902497,5230.701089097503,是
S003-HYG-01,T017,S003,生活卫生用品,14400.0,5569.298910902497,8830.701089097503,是
S003-MED-01,T017,S003,医疗物资,7200.0,5569.298910902497,1630.7010890975034,是
S003-WAT-01,T017,S003,饮用水,7200.0,5569.298910902497,1630.7010890975034,是
S003-WAT-02,T017,S003,饮用水,7200.0,5569.298910902497,1630.7010890975034,是
S003-WAT-03,T017,S003,饮用水,7200.0,5569.298910902497,1630.7010890975034,是
S004-HYG-01,T018,S004,生活卫生用品,14400.0,6473.219111539181,7926.780888460819,是
S004-WAT-03,T018,S004,饮用水,7200.0,6473.219111539181,726.7808884608194,是
S005-FOD-01,T019,S005,应急食品,14400.0,6787.640346403609,7612.359653596391,是
S005-HYG-01,T019,S005,生活卫生用品,18000.0,6787.640346403609,11212.359653596392,是
S005-MED-01,T019,S005,医疗物资,10800.0,6787.640346403609,4012.3596535963907,是
S005-WAT-01,T019,S005,饮用水,10800.0,6787.640346403609,4012.3596535963907,是
S005-WAT-02,T019,S005,饮用水,10800.0,6787.640346403609,4012.3596535963907,是
S005-WAT-03,T019,S005,饮用水,10800.0,6787.640346403609,4012.3596535963907,是
S009-WAT-01,T019,S009,饮用水,10800.0,7314.2219093410495,3485.7780906589505,是
S004-FOD-01,T020,S004,应急食品,10800.0,6974.250316031748,3825.7496839682517,是
S004-MED-01,T020,S004,医疗物资,7200.0,6974.250316031748,225.7496839682517,是
S004-WAT-01,T020,S004,饮用水,7200.0,6974.250316031748,225.7496839682517,是
